1,718;237;2692;1201;918
2,2854;5770;1404;792;13309
3,3982;4813;756;478;227
4,4035;5440;5759;9047;11905
5,2222;889;5948;7171;7050
6,3;14608;17;15;48
7,1546;5385;9423;11322;12900
8,7050;12167;6189;13029;9646
9,29;478;1192;1251;5754
10,888;2490;181;13638;13772
11,1527;4451;1409;8438;433
12,231;11516;3193;15682;16081
13,12873;16249;13806;16476;1345
14,1325;6423;792;8722;2597
15,824;6360;12827;15709;16099
16,21;2650;768;1586;1658
17,3982;15;2127;14459;535
18,17;6993;8988;15;1605
